Epoch 198: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.144
Epoch 199: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 200: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 201: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 202: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 203: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 204: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.147
Epoch 205: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 206: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 207: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 208: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 209: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 210: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 211: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 212: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.143
Epoch 213: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 214: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 215: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 216: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 217: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 218: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.144
Epoch 219: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 220: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 221: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 222: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 223: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 224: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 225: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 226: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 227: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 228: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 229: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 230: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 231: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 232: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 233: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 234: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 235: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 236: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 237: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 238: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 239: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 240: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 241: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 242: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 243: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 244: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 245: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 246: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 247: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 248: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 249: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 250: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 251: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 252: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 253: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 254: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 255: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 256: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 257: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 258: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 259: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 260: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 261: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 262: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 263: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 264: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 265: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 266: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 267: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 268: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 269: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.138
Epoch 270: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 271: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 272: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 273: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 274: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 275: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 276: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 277: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 278: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 279: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 280: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 281: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 282: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 283: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 284: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 285: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 286: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 287: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 288: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 289: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 290: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 291: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 292: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 293: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 294: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 295: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 296: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 297: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 298: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 299: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 300: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 301: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 302: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 303: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 304: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 305: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 306: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 307: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 308: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 309: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 310: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 311: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 312: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 313: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 314: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 315: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 316: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 317: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 318: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 319: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 320: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 321: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 322: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 323: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 324: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 325: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 326: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 327: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 328: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.140
Epoch 329: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 330: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 331: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 332: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 333: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 334: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.140
Epoch 335: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 336: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 337: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 338: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 339: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 340: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 341: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
