Epoch 197: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 198: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.125
Epoch 199: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 200: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 201: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 202: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 203: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.131
Epoch 204: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 205: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 206: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 207: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 208: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 209: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 210: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 211: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 212: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 213: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 214: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 215: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 216: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 217: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 218: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 219: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 220: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 221: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 222: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 223: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
