Epoch 161: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.466
Epoch 162: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 163: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 164: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 165: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 166: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 167: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 168: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 169: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.465
Epoch 170: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 171: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 172: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 173: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 174: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.464
Epoch 175: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 176: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 177: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 178: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 179: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 180: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 181: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 182: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 183: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 184: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 185: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 186: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 187: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 188: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.464
Epoch 189: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 190: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 191: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 192: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.463
Epoch 193: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 194: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 195: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 196: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 197: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 198: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.461
Epoch 199: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 200: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 201: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 202: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 203: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 204: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 205: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 206: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 207: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 208: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 209: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.462
Epoch 210: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 211: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 212: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.461
Epoch 213: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 214: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 215: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 216: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 217: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.461
Epoch 218: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.458
Epoch 219: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 220: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 221: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 222: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 223: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 224: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 225: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 226: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 227: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 228: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 229: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 230: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 231: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 232: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 233: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 234: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 235: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 236: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 237: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.460
Epoch 238: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 239: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 240: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 241: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 242: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 243: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 244: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 245: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 246: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 247: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 248: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 249: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.459
Epoch 250: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 251: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 252: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 253: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 254: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 255: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 256: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 257: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 258: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 259: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 260: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 261: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.458
Epoch 262: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 263: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 264: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 265: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 266: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 267: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 268: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.457
Epoch 269: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.456
Epoch 270: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 271: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 272: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 273: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 274: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 275: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 276: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 277: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 278: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 279: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 280: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 281: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 282: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 283: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 284: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 285: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 286: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 287: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 288: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 289: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 290: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 291: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 292: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 293: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 294: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.456
Epoch 295: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 296: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 297: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 298: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 299: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 300: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 301: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 302: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 303: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 304: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 305: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 306: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 307: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.455
Epoch 308: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 309: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 310: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 311: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 312: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 313: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 314: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 315: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 316: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 317: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 318: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 319: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 320: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 321: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 322: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 323: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 324: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 325: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 326: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 327: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 328: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.453
Epoch 329: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 330: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 331: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.454
Epoch 332: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.451
Epoch 333: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 334: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.454
Epoch 335: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 336: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 337: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 338: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
Epoch 339: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 340: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.453
Epoch 341: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.452
